tempo, vel, ref
2.735993, -0.336948, -0.309184
2.743993, -0.321896, -0.292541
2.751993, -0.308953, -0.275808
2.759993, -0.289371, -0.258991
2.767993, -0.271993, -0.242095
2.775993, -0.256486, -0.225125
2.783993, -0.239061, -0.208087
2.791992, -0.226142, -0.190985
2.799992, -0.202197, -0.173826
2.807992, -0.189734, -0.156613
2.815992, -0.170511, -0.139353
2.823992, -0.154141, -0.122050
2.831992, -0.138273, -0.104710
2.839992, -0.117541, -0.087338
2.847992, -0.100739, -0.069939
2.855992, -0.081157, -0.052519
2.863991, -0.061670, -0.035084
2.871991, -0.044413, -0.017637
2.879991, -0.026173, -0.000185
2.887991, -0.016178, 0.017267
2.895991, -0.005392, 0.034713
2.903991, 0.044653, 0.052149
2.911991, 0.060256, 0.069570
2.919991, 0.069508, 0.086969
2.927991, 0.082283, 0.104341
2.935991, 0.091271, 0.121682
2.943990, 0.106707, 0.138986
2.951990, 0.124540, 0.156247
2.959990, 0.141725, 0.173461
2.967990, 0.155627, 0.190622
2.975990, 0.175592, 0.207724
2.983990, 0.191675, 0.224764
2.991990, 0.207902, 0.241735
2.999990, 0.227724, 0.258633
3.007990, 0.240451, 0.275451
3.015990, 0.258092, 0.292186
3.023989, 0.275613, 0.308832
3.031989, 0.292726, 0.325384
3.039989, 0.309240, 0.341836
3.047989, 0.327265, 0.358185
3.055989, 0.346368, 0.374424
3.063989, 0.365710, 0.390550
3.071989, 0.381098, 0.406556
3.079989, 0.397588, 0.422439
3.087989, 0.411801, 0.438193
3.095989, 0.425104, 0.453813
3.103988, 0.447419, 0.469295
3.111988, 0.458852, 0.484634
3.119988, 0.474455, 0.499826
3.127988, 0.487997, 0.514866
3.135988, 0.501851, 0.529748
3.143988, 0.520307, 0.544469
3.151988, 0.540752, 0.559025
3.159988, 0.551657, 0.573410
3.167988, 0.561772, 0.587620
3.175987, 0.580060, 0.601652
3.183987, 0.593315, 0.615500
3.191987, 0.609685, 0.629161
3.199987, 0.623179, 0.642630
3.207987, 0.632671, 0.655903
3.215987, 0.648011, 0.668977
3.223987, 0.659204, 0.681847
3.231987, 0.671404, 0.694509
3.239987, 0.683748, 0.706959
3.247987, 0.699663, 0.719195
3.255986, 0.713564, 0.731211
3.263986, 0.721714, 0.743004
3.271986, 0.731493, 0.754571
3.279986, 0.752106, 0.765909
3.287986, 0.763107, 0.777013
3.295986, 0.768140, 0.787880
3.303986, 0.777224, 0.798508
3.311986, 0.795417, 0.808892
3.319986, 0.814088, 0.819030
3.327986, 0.819217, 0.828918
3.335985, 0.828661, 0.838554
3.343985, 0.835204, 0.847934
3.351985, 0.846110, 0.857056
3.359985, 0.856248, 0.865917
3.367985, 0.863247, 0.874515
3.375985, 0.871133, 0.882846
3.383985, 0.882374, 0.890908
3.391985, 0.884052, 0.898698
3.399985, 0.894502, 0.906215
3.407984, 0.904065, 0.913456
3.415984, 0.911496, 0.920419
3.423984, 0.919597, 0.927101
3.431984, 0.928729, 0.933501
3.439984, 0.930599, 0.939617
3.447984, 0.937190, 0.945446
3.455984, 0.943398, 0.950988
3.463984, 0.943853, 0.956240
3.471984, 0.957491, 0.961200
3.479984, 0.959816, 0.965868
3.487983, 0.963987, 0.970241
3.495983, 0.970722, 0.974319
3.503983, 0.974605, 0.978101
3.511983, 0.973310, 0.981584
3.519983, 0.983329, 0.984768
3.527983, 0.979159, 0.987653
3.535983, 0.991526, 0.990236
3.543983, 0.989657, 0.992518
3.551983, 0.993372, 0.994498
3.559983, 0.997614, 0.996175
3.567982, 0.997614, 0.997548
3.575982, 0.997111, 0.998617
3.583982, 1.002768, 0.999383
3.591982, 0.998981, 0.999844
3.599982, 1.004661, 1.000000
3.607982, 1.002240, 0.999852
3.615982, 1.003295, 0.999399
3.623982, 1.005716, 0.998642
3.631982, 1.003295, 0.997580
3.639982, 1.001401, 0.996215
3.647981, 0.998477, 0.994546
3.655981, 0.994379, 0.992575
3.663981, 0.998477, 0.990301
3.671981, 0.991526, 0.987725
3.679981, 0.996943, 0.984849
3.687981, 0.992869, 0.981672
3.695981, 0.985486, 0.978197
3.703981, 0.982322, 0.974424
3.711981, 0.977888, 0.970353
3.719980, 0.975587, 0.965988
3.727980, 0.973310, 0.961328
3.735980, 0.963987, 0.956375
3.743980, 0.967174, 0.951131
3.751980, 0.960176, 0.945597
3.759980, 0.951859, 0.939775
3.767980, 0.944308, 0.933667
3.775980, 0.936734, 0.927275
3.783980, 0.931485, 0.920600
3.791980, 0.929424, 0.913645
3.799979, 0.920172, 0.906411
3.807979, 0.916122, 0.898901
3.815979, 0.909842, 0.891118
3.823979, 0.898361, 0.883063
3.831979, 0.894047, 0.874739
3.839979, 0.879809, 0.866149
3.847979, 0.870582, 0.857295
3.855979, 0.865668, 0.848180
3.863979, 0.856272, 0.838806
3.871979, 0.845343, 0.829177
3.879978, 0.839974, 0.819295
3.887978, 0.832496, 0.809164
3.895978, 0.818187, 0.798786
3.903978, 0.808527, 0.788165
3.911978, 0.797909, 0.777304
3.919978, 0.785901, 0.766207
3.927978, 0.772790, 0.754875
3.935978, 0.766822, 0.743314
3.943978, 0.752681, 0.731527
3.951977, 0.738755, 0.719516
3.959977, 0.733362, 0.707287
3.967977, 0.722145, 0.694842
3.975977, 0.706278, 0.682185
3.983977, 0.689260, 0.669321
3.991977, 0.677827, 0.656253
3.999977, 0.665412, 0.642985
4.007977, 0.652804, 0.629521
4.015977, 0.638639, 0.615865
4.023977, 0.631472, 0.602022
4.031977, 0.614215, 0.587995
4.039977, 0.597054, 0.573789
4.047976, 0.583272, 0.559409
4.055976, 0.571527, 0.544858
4.063976, 0.559591, 0.530141
4.071976, 0.541519, 0.515263
4.079976, 0.522632, 0.500227
4.087976, 0.509089, 0.485040
4.095976, 0.498759, 0.469704
4.103976, 0.482221, 0.454226
4.111976, 0.463046, 0.438609
4.119976, 0.452596, 0.422859
4.127975, 0.430808, 0.406979
4.135975, 0.418057, 0.390976
4.143975, 0.407679, 0.374854
4.151975, 0.391141, 0.358617
4.159975, 0.371487, 0.342272
4.167975, 0.355739, 0.325822
4.175975, 0.335845, 0.309273
4.183975, 0.318301, 0.292629
4.191975, 0.308426, 0.275897
4.199975, 0.291384, 0.259080
4.207974, 0.271466, 0.242185
4.215974, 0.257421, 0.225215
4.223974, 0.236424, 0.208178
4.231974, 0.222858, 0.191076
4.239974, 0.204786, 0.173917
4.247974, 0.186714, 0.156704
4.255974, 0.166484, 0.139444
4.263974, 0.153398, 0.122142
4.271974, 0.134582, 0.104802
4.279974, 0.117804, 0.087430
4.287973, 0.101674, 0.070032
4.295973, 0.082906, 0.052612
4.303973, 0.064259, 0.035176
4.311973, 0.043718, 0.017730
4.319973, 0.022817, 0.000278
4.327973, 0.011624, -0.017174
4.335973, 0.007190, -0.034621
4.343973, -0.051723, -0.052057
4.351973, -0.062174, -0.069477
4.359972, -0.068765, -0.086876
4.367972, -0.079023, -0.104249
4.375972, -0.089977, -0.121590
4.383972, -0.107882, -0.138894
4.391972, -0.124492, -0.156155
4.399972, -0.140862, -0.173369
4.407972, -0.152679, -0.190531
4.415972, -0.172333, -0.207634
4.423972, -0.189015, -0.224674
4.431972, -0.209148, -0.241645
4.439971, -0.225710, -0.258543
4.447971, -0.242752, -0.275362
4.455971, -0.256965, -0.292098
4.463971, -0.277770, -0.308744
4.471971, -0.295027, -0.325296
4.479971, -0.310870, -0.341749
4.487971, -0.332370, -0.358098
4.495971, -0.345696, -0.374338
4.503971, -0.364008, -0.390464
4.511971, -0.377239, -0.406471
4.519970, -0.394472, -0.422355
4.527970, -0.415493, -0.438109
4.535970, -0.428939, -0.453730
4.543970, -0.443488, -0.469213
4.551970, -0.452979, -0.484553
4.559970, -0.466521, -0.499746
4.567970, -0.492072, -0.514786
4.575970, -0.507124, -0.529670
