t, r, v, p, to
2.375998, -0.891076, -0.900566, 0.257445, 0.534442
2.383998, -0.883020, -0.895964, 0.250200, 0.625688
2.391998, -0.874694, -0.893591, 0.242967, 0.304997
2.399997, -0.866103, -0.879642, 0.235937, 0.508251
2.407997, -0.857247, -0.871181, 0.228932, 0.558964
2.415997, -0.848130, -0.868065, 0.221962, 0.335063
2.423997, -0.838755, -0.856200, 0.215077, 0.396032
2.431997, -0.829125, -0.844504, 0.208324, 0.396025
2.439997, -0.819242, -0.839087, 0.201582, 0.177331
2.447997, -0.809110, -0.824970, 0.194876, 0.624997
2.455997, -0.798731, -0.816029, 0.188267, 0.569156
2.463997, -0.788108, -0.811260, 0.181741, 0.264117
2.471997, -0.777246, -0.791270, 0.175311, 0.299895
2.479996, -0.766147, -0.781011, 0.169061, 0.595115
2.487996, -0.754815, -0.778543, 0.162847, 0.315605
2.495996, -0.743252, -0.767014, 0.156681, 0.239586
2.503996, -0.731464, -0.753663, 0.150623, 0.443352
2.511996, -0.719452, -0.738611, 0.144600, 0.448760
2.519996, -0.707221, -0.730294, 0.138686, 0.179543
2.527996, -0.694775, -0.715098, 0.132964, 0.393544
2.535996, -0.682118, -0.702754, 0.127230, 0.592326
2.543996, -0.669252, -0.695780, 0.121675, 0.216351
2.551996, -0.656183, -0.677827, 0.116193, 0.267662
2.559995, -0.642914, -0.663183, 0.110866, 0.451225
2.567995, -0.629449, -0.650983, 0.105624, 0.573787
2.575995, -0.615792, -0.645206, 0.100417, 0.177528
2.583995, -0.601948, -0.627302, 0.095294, 0.244155
2.591995, -0.587920, -0.612801, 0.090280, 0.168365
2.599995, -0.573713, -0.592572, 0.085457, 0.148556
2.607995, -0.559332, -0.586963, 0.080754, 0.230454
2.615995, -0.544780, -0.570425, 0.076111, 0.108924
2.623995, -0.530062, -0.553335, 0.071672, 0.490935
2.631994, -0.515183, -0.543316, 0.067306, 0.379581
2.639994, -0.500147, -0.531668, 0.063034, 0.390295
2.647994, -0.484959, -0.514147, 0.058847, 0.055127
2.655994, -0.469622, -0.495212, 0.054804, 0.106528
2.663994, -0.454143, -0.479105, 0.050893, 0.354539
2.671994, -0.438526, -0.460721, 0.047162, 0.435636
2.679994, -0.422775, -0.447299, 0.043515, 0.536906
2.687994, -0.406895, -0.438143, 0.039999, 0.393850
2.695994, -0.390891, -0.422923, 0.036496, 0.311627
2.703994, -0.374768, -0.404108, 0.033173, 0.274994
2.711993, -0.358531, -0.386635, 0.030018, 0.472131
2.719993, -0.342185, -0.367556, 0.026982, 0.526641
2.727993, -0.325734, -0.351713, 0.024103, 0.163851
2.735993, -0.309184, -0.337260, 0.021379, 0.273881
2.743993, -0.292541, -0.323598, 0.018728, 0.164972
2.751993, -0.275808, -0.309264, 0.016316, 0.203354
2.759993, -0.258991, -0.285727, 0.013917, -0.017910
2.767993, -0.242095, -0.273360, 0.011697, 0.035257
2.775993, -0.225125, -0.255120, 0.009586, 0.250953
2.783993, -0.208087, -0.240691, 0.007618, 0.100188
2.791992, -0.190985, -0.221732, 0.005722, 0.244182
2.799992, -0.173826, -0.203731, 0.003995, 0.118370
2.807992, -0.156613, -0.187169, 0.002423, 0.450057
2.815992, -0.139353, -0.171278, 0.000935, -0.103521
2.823992, -0.122050, -0.156729, -0.000407, 0.166635
2.831992, -0.104710, -0.137698, -0.001523, -0.005989
2.839992, -0.087338, -0.118332, -0.002591, -0.402663
2.847992, -0.069939, -0.099732, -0.003466, -0.204493
2.855992, -0.052519, -0.082091, -0.004175, -0.103223
2.863991, -0.035084, -0.059465, -0.004786, -0.129382
2.871991, -0.017637, -0.041777, -0.005206, -0.160878
2.879991, -0.000185, -0.025670, -0.005482, -0.421532
2.887991, 0.017267, -0.016298, -0.005638, -0.514604
2.895991, 0.034713, -0.005872, -0.005638, 0.118304
2.903991, 0.052149, 0.050189, -0.005506, 0.298147
2.911991, 0.069570, 0.061191, -0.005110, 0.614568
2.919991, 0.086969, 0.071593, -0.004558, 1.007297
2.927991, 0.104341, 0.081516, -0.003959, 0.764257
2.935991, 0.121682, 0.092614, -0.003227, 0.526334
2.943990, 0.138986, 0.106947, -0.002447, 0.329134
2.951990, 0.156247, 0.127440, -0.001523, 0.467646
2.959990, 0.173461, 0.142588, -0.000407, 0.768973
2.967990, 0.190622, 0.157352, 0.000792, 0.475197
2.975990, 0.207724, 0.176719, 0.002147, 0.690099
2.983990, 0.224764, 0.192826, 0.003647, 0.584572
2.991990, 0.241735, 0.209028, 0.005291, 0.540106
2.999990, 0.258633, 0.225710, 0.007054, 0.724541
3.007990, 0.275451, 0.241937, 0.008938, 0.456327
3.015990, 0.292186, 0.258691, 0.010917, 0.269485
3.023989, 0.308832, 0.275397, 0.013077, 0.591322
3.031989, 0.325384, 0.293086, 0.015345, 0.241759
3.039989, 0.341836, 0.308953, 0.017684, 0.049878
3.047989, 0.358185, 0.330453, 0.020252, 0.315807
3.055989, 0.374424, 0.347686, 0.022927, 0.281637
3.063989, 0.390550, 0.365638, 0.025782, 0.323762
3.071989, 0.406556, 0.379516, 0.028710, 0.279444
3.079989, 0.422439, 0.394352, 0.031805, 0.230023
3.087989, 0.438193, 0.410028, 0.035068, 0.216228
3.095989, 0.453813, 0.425847, 0.038464, -0.097686
3.103988, 0.469295, 0.443775, 0.041931, 0.264908
3.111988, 0.484634, 0.462063, 0.045566, 0.301967
3.119988, 0.499826, 0.473520, 0.049309, 0.155895
3.127988, 0.514866, 0.490777, 0.053125, -0.015609
3.135988, 0.529748, 0.498399, 0.057084, -0.009093
3.143988, 0.544469, 0.522584, 0.061187, 0.035843
3.151988, 0.559025, 0.538978, 0.065386, 0.389111
3.159988, 0.573410, 0.552976, 0.069777, 0.299759
3.167988, 0.587620, 0.564864, 0.074168, 0.113682
3.175987, 0.601652, 0.577399, 0.078774, 0.100459
3.183987, 0.615500, 0.594920, 0.083406, 0.021027
3.191987, 0.629161, 0.608415, 0.088264, 0.251759
3.199987, 0.642630, 0.617547, 0.093183, 0.197585
3.207987, 0.655903, 0.632551, 0.098221, -0.004213
3.215987, 0.668977, 0.649952, 0.103392, 0.058411
3.223987, 0.681847, 0.663782, 0.108611, 0.095513
3.231987, 0.694509, 0.671116, 0.113937, 0.015515
